key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
stress-D2-Q14,stress,D2,10.012,closed,csv,4,1,,0,1713,1713,28.510864525910353,28.510864525910353,0.0,0.0,0.140177479901357,0.1036333441734314,0.47805990092456335,0.5622513907402749,0.6985549946539107,0.8107583527453244,0.8226721988883724,0.4669947188347578,5059454.99939137,0.5726671112837275,5.706128525648458,309552.2664529063,0.9994136618010337,UNKNOWN,False
conc-D3-c1-r0,concurrency,D3,25.038,closed,csv,1,1,,0,14039,14039,77.9921711289646,77.9921711289646,0.0,0.0,0.012791023053558158,0.011347150895744562,0.02354012303985654,0.027832272527739406,0.031723149364814296,0.12670663697645068,0.41330433906828906,0.016485406970605253,3321011.754718735,0.752835818677653,0.1349842131386998,279849.8267269781,0.9378641677174423,DATABASE_IO_BOUND,False
conc-D3-c1-r1,concurrency,D3,25.038,closed,csv,1,1,,1,14131,14131,78.50341915124008,78.50341915124008,0.0,0.0,0.012707575268134728,0.011321580037474632,0.02335052494890988,0.027620406355708848,0.03137341924011716,0.13297034986317158,0.4043321039088308,0.01617780141532421,3329123.806260094,0.7624936667562106,0.134452071312841,29432.591969123354,0.9935072796493888,UNKNOWN,False
conc-D3-c1-r2,concurrency,D3,25.038,closed,csv,1,1,,2,14184,14184,78.79638182034947,78.79638182034947,0.0,0.0,0.012660022895784237,0.011309290071949363,0.023156141024082873,0.027426315718330443,0.03227576487464842,0.1348491320386529,0.41073196444816457,0.016070618527010083,3325273.27645649,0.7574167694627693,0.13538738520428203,3620.029850007622,0.9943521062441317,UNKNOWN,False
conc-D3-c2-r0,concurrency,D3,25.038,closed,csv,2,1,,0,16286,16286,90.4757239699928,90.4757239699928,0.0,0.0,0.022075056849275368,0.02048608404584229,0.0345925911096856,0.042023698007687925,0.11458648512374434,0.145179009065032,0.3299401678731293,0.02813472645357251,3873275.854036985,0.9448969820556693,0.16163708745811137,577.5890760663805,0.9943139504863382,TAP_CPU_BOUND,False
conc-D3-c2-r1,concurrency,D3,25.038,closed,csv,2,1,,1,16315,16315,90.62833903686702,90.62833903686702,0.0,0.0,0.02203701174213747,0.020463663153350353,0.03460548208095133,0.042127073975279934,0.11929129753821928,0.1474386677145958,0.3348208493471104,0.028232051897794,3810448.606011503,0.9509859622104817,0.15935234810221066,683.9976043162209,0.9944204978155349,TAP_CPU_BOUND,False
conc-D3-c2-r2,concurrency,D3,25.038,closed,csv,2,1,,2,16366,16366,90.91377117307859,90.91377117307859,0.0,0.0,0.021968099410079676,0.0204215538688004,0.034591120202094316,0.042516393796540805,0.12325067746919151,0.14804890798404813,0.336784951985252,0.02793655206914991,3796245.724427779,0.9502607366158015,0.16215462517922358,397.89828718100944,0.9943840011986882,TAP_CPU_BOUND,False
conc-D3-c4-r0,concurrency,D3,25.038,closed,csv,4,1,,0,16575,16575,92.075803597617,92.075803597617,0.0,0.0,0.043411417119907356,0.04094317462295294,0.067169933905825,0.08207975299097575,0.15330823942180774,0.1915379478596151,0.3148927166610476,0.055183083051815615,3937910.1617101775,1.0341809171420016,0.17296159675789438,367.81758103022787,0.9944608342109436,TAP_CPU_BOUND,False
conc-D3-c4-r1,concurrency,D3,25.038,closed,csv,4,1,,1,16617,16617,92.30680063437039,92.30680063437039,0.0,0.0,0.043301943198954786,0.04089919803664088,0.06706174211576581,0.08179318180307746,0.1578435889408004,0.1899160942994058,0.31659837497958715,0.054833073541522025,3895274.4945186237,1.029676334656745,0.17102488862133364,84.12956726920228,0.9944393045362881,TAP_CPU_BOUND,False
conc-D3-c4-r2,concurrency,D3,25.038,closed,csv,4,1,,2,16715,16715,92.84960659815309,92.84960659815309,0.0,0.0,0.04304880789444051,0.040766701102256775,0.06631459998898208,0.08187548872083426,0.15714397572353492,0.1851335521787405,0.3150552267911154,0.05464222296141088,3882219.0188306114,1.0423519595770203,0.17288740857275048,0.0,0.9946628864168624,TAP_CPU_BOUND,False
