target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
egernia-local,egernia,Q05,votable,8,1,20770,0.0,173.066,0.04457,0.065391,0.062295,6958.4,0.11,True
dachs-local,dachs,Q05,votable,8,1,930,0.0,7.711,0.976243,1.47075,1.470213,10431.1,0.015,True
egernia-local,egernia,Q05,votable,8,2,20750,0.0,172.872,0.044542,0.064842,0.061804,6886.2,0.11,True
dachs-local,dachs,Q05,votable,8,2,928,0.0,7.691,0.981438,1.505898,1.505449,10625.2,0.015,True
egernia-local,egernia,Q05,votable,8,3,20763,0.0,172.971,0.044462,0.065494,0.06219,6917.7,0.105,True
dachs-local,dachs,Q05,votable,8,3,935,0.0,7.752,0.974978,1.457951,1.45726,10671.2,0.01,True
egernia-local,egernia,Q05,votable,16,1,19667,0.0,163.793,0.094925,0.128359,0.122592,6984.6,0.105,True
dachs-local,dachs,Q05,votable,16,1,1079,0.0,8.889,1.771667,2.27583,2.275312,10593.8,0.015,True
egernia-local,egernia,Q05,votable,16,2,19692,0.0,164.03,0.094833,0.128545,0.122911,6875.5,0.105,True
dachs-local,dachs,Q05,votable,16,2,1024,0.0,8.451,1.808474,2.434191,2.433599,10655.9,0.015,True
egernia-local,egernia,Q05,votable,16,3,19583,0.0,163.143,0.095029,0.130229,0.124566,6908.5,0.1,True
dachs-local,dachs,Q05,votable,16,3,1046,0.0,8.632,1.818642,2.405588,2.405063,10688.2,0.015,True
egernia-local,egernia,Q05,votable,32,1,18690,0.0,155.578,0.200162,0.255738,0.249861,6980.0,0.105,True
dachs-local,dachs,Q05,votable,32,1,1076,0.0,8.733,3.621412,4.092285,4.091716,10600.8,0.02,True
egernia-local,egernia,Q05,votable,32,2,18582,0.0,154.67,0.201693,0.256281,0.250903,6877.6,0.11,True
dachs-local,dachs,Q05,votable,32,2,1070,0.0,8.678,3.628156,4.183199,4.182429,10723.8,0.02,True
egernia-local,egernia,Q05,votable,32,3,18360,0.0,152.85,0.203442,0.259195,0.253558,6910.4,0.1,True
dachs-local,dachs,Q05,votable,32,3,1055,0.0,8.63,3.709839,4.140517,4.140011,10599.6,0.015,True
egernia-local,egernia,Q06,votable,1,1,6528,0.0,54.393,0.018083,0.025021,0.023864,96705.4,0.13,True
dachs-local,dachs,Q06,votable,1,1,208,0.0,1.732,0.557291,0.795635,0.794923,91801.9,0.01,True
egernia-local,egernia,Q06,votable,1,2,6460,0.0,53.832,0.018218,0.025276,0.024101,95852.7,0.135,True
dachs-local,dachs,Q06,votable,1,2,209,0.0,1.738,0.558136,0.801974,0.801492,89898.4,0.01,True
egernia-local,egernia,Q06,votable,1,3,6441,0.0,53.674,0.018331,0.025267,0.024073,94863.7,0.14,True
dachs-local,dachs,Q06,votable,1,3,209,0.0,1.741,0.553134,0.801641,0.801132,82750.3,0.01,True
egernia-local,egernia,Q06,votable,4,1,14563,0.0,121.325,0.031845,0.047327,0.043839,96407.3,0.09,True
dachs-local,dachs,Q06,votable,4,1,702,0.0,5.826,0.648782,0.908306,0.907843,91021.0,0.01,True
egernia-local,egernia,Q06,votable,4,2,14968,0.0,124.714,0.030953,0.04606,0.042595,95795.7,0.095,True
